Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513068780000,0.00031996,0.00031996,0.00029997,0.00029997,578.00000000,1513068839999,0.17425618,3,578.00000000,0.17425618
1513068840000,0.00029997,0.00029997,0.00029989,0.00029989,7549.00000000,1513068899999,2.26387161,2,7549.00000000,2.26387161
1513068900000,0.00020000,0.00020000,0.00007410,0.00018996,27155.00000000,1513068959999,5.17217040,3,27155.00000000,5.17217040
1513068960000,0.00010000,0.00010000,0.00005501,0.00005501,23253.00000000,1513069019999,1.87584990,2,13263.00000000,1.32630000
1513069020000,0.00005501,0.00005501,0.00005501,0.00005501,0.00000000,1513069079999,0.00000000,0,0.00000000,0.00000000
1513069080000,0.00006100,0.00006298,0.00005800,0.00006298,28439.00000000,1513069139999,1.67098008,8,26582.00000000,1.56327408
1513069140000,0.00006150,0.00006296,0.00005501,0.00005501,1580914.00000000,1513069199999,90.32221887,41,440517.00000000,25.87325077
1513069200000,0.00005500,0.00005500,0.00005111,0.00005111,103250.00000000,1513069259999,5.35810104,9,19328.00000000,1.06303670
1513069260000,0.00005299,0.00005300,0.00005299,0.00005300,15666.00000000,1513069319999,0.83024134,2,15666.00000000,0.83024134
1513069320000,0.00005299,0.00005299,0.00005200,0.00005200,50930.00000000,1513069379999,2.65713190,5,40930.00000000,2.13213190
1513069380000,0.00005200,0.00005200,0.00005111,0.00005111,911838.00000000,1513069439999,46.97907303,39,268921.00000000,13.98342206
1513069440000,0.00005111,0.00005111,0.00004550,0.00004550,82852.00000000,1513069499999,4.11329043,10,8781.00000000,0.44078715
1513069500000,0.00005000,0.00005000,0.00004801,0.00004998,768620.00000000,1513069559999,38.38091385,23,398693.00000000,19.92808025
1513069560000,0.00005097,0.00005195,0.00004999,0.00004999,1774753.00000000,1513069619999,90.18755885,42,1341701.00000000,68.51109927
1513069620000,0.00005067,0.00005097,0.00005000,0.00005001,468696.00000000,1513069679999,23.73738400,21,407899.00000000,20.66810542
1513069680000,0.00005000,0.00005180,0.00004999,0.00004999,340906.00000000,1513069739999,17.47953349,10,242813.00000000,12.57493540
1513069740000,0.00005099,0.00005100,0.00005099,0.00005099,173797.00000000,1513069799999,8.86267153,10,156829.00000000,7.99747321
1513069800000,0.00005099,0.00005111,0.00005078,0.00005078,628070.00000000,1513069859999,32.04497350,26,245037.00000000,12.51507525
1513069860000,0.00005012,0.00005012,0.00004801,0.00004803,595435.00000000,1513069919999,29.23259444,39,60223.00000000,3.00955507
1513069920000,0.00004807,0.00004807,0.00004802,0.00004807,376103.00000000,1513069979999,18.07090344,21,40277.00000000,1.93611539
1513069980000,0.00004949,0.00004949,0.00004802,0.00004850,738287.00000000,1513070039999,35.71336869,29,426664.00000000,20.74755899
1513070040000,0.00004886,0.00004886,0.00004702,0.00004705,425879.00000000,1513070099999,20.45277989,31,369895.00000000,17.77694143
1513070100000,0.00004705,0.00004720,0.00004603,0.00004603,254436.00000000,1513070159999,11.88484261,28,31720.00000000,1.49285855
1513070160000,0.00004604,0.00004788,0.00004600,0.00004788,1152517.00000000,1513070219999,53.54117159,29,739889.00000000,34.55293569
1513070220000,0.00004788,0.00004885,0.00004705,0.00004885,639416.00000000,1513070279999,31.10100325,19,639416.00000000,31.10100325
1513070280000,0.00004888,0.00004888,0.00004887,0.00004887,98123.00000000,1513070339999,4.79620899,7,98123.00000000,4.79620899
1513070340000,0.00004887,0.00004887,0.00004804,0.00004885,223737.00000000,1513070399999,10.91167248,12,208377.00000000,10.17377808
1513070400000,0.00004811,0.00004888,0.00004811,0.00004811,102068.00000000,1513070459999,4.95887476,8,82437.00000000,4.01442735
1513070460000,0.00004810,0.00004888,0.00004810,0.00004860,139354.00000000,1513070519999,6.78319613,20,125952.00000000,6.13818493
1513070520000,0.00004860,0.00004888,0.00004812,0.00004888,99122.00000000,1513070579999,4.81703570,11,79875.00000000,3.89070759
1513070580000,0.00004877,0.00004878,0.00004877,0.00004878,22231.00000000,1513070639999,1.08422587,4,18231.00000000,0.88914587
1513070640000,0.00004877,0.00004885,0.00004877,0.00004878,48431.00000000,1513070699999,2.36320806,11,38995.00000000,1.90294715
1513070700000,0.00004880,0.00004880,0.00004880,0.00004880,99055.00000000,1513070759999,4.83388400,12,99055.00000000,4.83388400
1513070760000,0.00004880,0.00004888,0.00004879,0.00004888,243127.00000000,1513070819999,11.87485646,12,235528.00000000,11.50410125
1513070820000,0.00004888,0.00004900,0.00004888,0.00004900,54902.00000000,1513070879999,2.68798592,6,54902.00000000,2.68798592
1513070880000,0.00004910,0.00004998,0.00004910,0.00004910,68648.00000000,1513070939999,3.42924245,5,68647.00000000,3.42919335
1513070940000,0.00004910,0.00004997,0.00004880,0.00004997,1425605.00000000,1513070999999,69.79437051,26,209663.00000000,10.30562593
1513071000000,0.00004997,0.00004999,0.00004910,0.00004999,228192.00000000,1513071059999,11.40034996,6,222936.00000000,11.14228036
1513071060000,0.00004998,0.00005070,0.00004888,0.00004888,286854.00000000,1513071119999,14.16886856,13,37622.00000000,1.90415858
1513071120000,0.00005049,0.00005050,0.00005049,0.00005050,118587.00000000,1513071179999,5.98850133,12,36798.00000000,1.85815683
1513071180000,0.00005000,0.00005000,0.00005000,0.00005000,86468.00000000,1513071239999,4.32340000,2,1640.00000000,0.08200000
1513071240000,0.00005040,0.00005049,0.00005040,0.00005040,194258.00000000,1513071299999,9.80633070,6,185905.00000000,9.38533950
1513071300000,0.00005045,0.00005048,0.00005040,0.00005045,57143.00000000,1513071359999,2.88254116,6,47143.00000000,2.37804116
1513071360000,0.00005048,0.00005065,0.00005045,0.00005065,99718.00000000,1513071419999,5.03998280,9,65719.00000000,3.32139125
1513071420000,0.00005098,0.00005098,0.00005066,0.00005098,120838.00000000,1513071479999,6.13993974,6,101839.00000000,5.17745040
1513071480000,0.00005065,0.00005097,0.00005060,0.00005060,95201.00000000,1513071539999,4.82024237,6,26426.00000000,1.33875807
1513071540000,0.00005095,0.00005095,0.00005050,0.00005050,86783.00000000,1513071599999,4.39336370,8,1241.00000000,0.06322895
1513071600000,0.00005050,0.00005094,0.00005000,0.00005000,372474.00000000,1513071659999,18.81812002,21,315706.00000000,15.97238560
1513071660000,0.00005000,0.00005000,0.00004821,0.00004821,875847.00000000,1513071719999,42.80449433,29,217700.00000000,10.66056681
1513071720000,0.00004821,0.00004821,0.00004821,0.00004821,52900.00000000,1513071779999,2.55030900,2,52900.00000000,2.55030900
1513071780000,0.00004822,0.00004822,0.00004821,0.00004821,34536.00000000,1513071839999,1.66510266,2,22326.00000000,1.07633646
1513071840000,0.00004978,0.00004978,0.00004819,0.00004819,7500.00000000,1513071899999,0.36937500,2,5000.00000000,0.24890000
1513071900000,0.00004819,0.00004819,0.00004819,0.00004819,0.00000000,1513071959999,0.00000000,0,0.00000000,0.00000000
1513071960000,0.00004819,0.00004819,0.00004819,0.00004819,0.00000000,1513072019999,0.00000000,0,0.00000000,0.00000000
1513072020000,0.00004970,0.00004979,0.00004970,0.00004979,129600.00000000,1513072079999,6.44798696,12,129600.00000000,6.44798696
1513072080000,0.00004979,0.00004979,0.00004830,0.00004830,319028.00000000,1513072139999,15.46442026,12,23388.00000000,1.16448852
1513072140000,0.00004900,0.00004900,0.00004830,0.00004900,306745.00000000,1513072199999,15.00863350,3,275500.00000000,13.49950000
1513072200000,0.00004900,0.00004900,0.00004900,0.00004900,0.00000000,1513072259999,0.00000000,0,0.00000000,0.00000000
1513072260000,0.00004959,0.00004960,0.00004958,0.00004958,66850.00000000,1513072319999,3.31474796,8,66850.00000000,3.31474796
1513072320000,0.00004955,0.00004955,0.00004955,0.00004955,50.00000000,1513072379999,0.00247750,1,50.00000000,0.00247750
1513072380000,0.00004880,0.00004950,0.00004880,0.00004880,101837.00000000,1513072439999,4.99556740,7,35620.00000000,1.76319000
1513072440000,0.00004840,0.00004954,0.00004840,0.00004890,216327.00000000,1513072499999,10.57592308,12,87270.00000000,4.32163156
1513072500000,0.00004954,0.00004954,0.00004954,0.00004954,19149.00000000,1513072559999,0.94864146,3,19149.00000000,0.94864146
1513072560000,0.00004900,0.00004950,0.00004893,0.00004893,37314.00000000,1513072619999,1.83086650,5,6641.00000000,0.32872950
1513072620000,0.00004893,0.00004979,0.00004890,0.00004890,178468.00000000,1513072679999,8.79915287,18,100008.00000000,4.96042142
1513072680000,0.00004891,0.00004891,0.00004826,0.00004826,166855.00000000,1513072739999,8.07497368,13,802.00000000,0.03922582
1513072740000,0.00004834,0.00004834,0.00004818,0.00004818,58350.00000000,1513072799999,2.81564412,6,0.00000000,0.00000000
1513072800000,0.00004818,0.00004818,0.00004818,0.00004818,0.00000000,1513072859999,0.00000000,0,0.00000000,0.00000000
1513072860000,0.00004880,0.00004880,0.00004880,0.00004880,20000.00000000,1513072919999,0.97600000,2,6500.00000000,0.31720000
1513072920000,0.00004880,0.00004890,0.00004880,0.00004888,1629.00000000,1513072979999,0.07963492,3,500.00000000,0.02444940
1513072980000,0.00004822,0.00004822,0.00004822,0.00004822,233.00000000,1513073039999,0.01123526,1,0.00000000,0.00000000
