Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513135920000,272.00000000,272.00000000,272.00000000,272.00000000,0.50000000,1513135979999,136.00000000,1,0.00000000,0.00000000
1513135980000,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,1513136039999,0.00000000,0,0.00000000,0.00000000
1513136040000,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,1513136099999,0.00000000,0,0.00000000,0.00000000
1513136100000,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,1513136159999,0.00000000,0,0.00000000,0.00000000
1513136160000,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,1513136219999,0.00000000,0,0.00000000,0.00000000
1513136220000,273.00000000,275.00000000,273.00000000,275.00000000,23.02999000,1513136279999,6307.43727000,5,0.00000000,0.00000000
1513136280000,275.00000000,275.00000000,275.00000000,275.00000000,0.69000000,1513136339999,189.75000000,2,0.00000000,0.00000000
1513136340000,275.00000000,275.00000000,275.00000000,275.00000000,18.63000000,1513136399999,5123.25000000,4,0.00000000,0.00000000
1513136400000,275.00000000,275.00000000,275.00000000,275.00000000,0.01282000,1513136459999,3.52550000,1,0.00000000,0.00000000
1513136460000,275.00000000,275.00000000,275.00000000,275.00000000,0.01000000,1513136519999,2.75000000,1,0.01000000,2.75000000
1513136520000,275.00000000,275.00000000,275.00000000,275.00000000,0.00000000,1513136579999,0.00000000,0,0.00000000,0.00000000
1513136580000,275.00000000,288.00000000,275.00000000,288.00000000,3.74560000,1513136639999,1049.03712000,6,2.40562000,675.50268000
1513136640000,288.00000000,288.00000000,288.00000000,288.00000000,0.00000000,1513136699999,0.00000000,0,0.00000000,0.00000000
1513136700000,280.00000000,280.00000000,275.50000000,275.50000000,9.10732000,1513136759999,2519.25300000,6,0.00000000,0.00000000
1513136760000,275.50000000,279.99000000,275.50000000,278.00000000,10.08619000,1513136819999,2782.78934500,5,0.60000000,167.99400000
1513136820000,278.00000000,278.00000000,278.00000000,278.00000000,0.00000000,1513136879999,0.00000000,0,0.00000000,0.00000000
1513136880000,278.00000000,278.00000000,278.00000000,278.00000000,0.00546000,1513136939999,1.51788000,1,0.00546000,1.51788000
1513136940000,279.99000000,280.00000000,278.00000000,280.00000000,33.94130000,1513136999999,9439.13304020,14,3.66709000,1022.90266020
1513137000000,279.99000000,281.00000000,279.99000000,281.00000000,17.20249000,1513137059999,4829.71010000,5,4.15249000,1162.66010000
1513137060000,281.00000000,281.00000000,281.00000000,281.00000000,0.12474000,1513137119999,35.05194000,3,0.03933000,11.05173000
1513137120000,281.00000000,281.00000000,276.00000000,276.00000000,12.01030000,1513137179999,3325.11745000,6,0.00000000,0.00000000
1513137180000,276.00000000,276.00000000,276.00000000,276.00000000,0.00000000,1513137239999,0.00000000,0,0.00000000,0.00000000
1513137240000,276.00000000,276.00000000,276.00000000,276.00000000,0.23189000,1513137299999,64.00164000,1,0.23189000,64.00164000
1513137300000,276.00000000,276.00000000,276.00000000,276.00000000,0.00000000,1513137359999,0.00000000,0,0.00000000,0.00000000
1513137360000,276.00000000,276.00000000,276.00000000,276.00000000,0.00000000,1513137419999,0.00000000,0,0.00000000,0.00000000
1513137420000,276.00000000,276.00000000,276.00000000,276.00000000,0.00000000,1513137479999,0.00000000,0,0.00000000,0.00000000
1513137480000,276.00000000,276.00000000,276.00000000,276.00000000,1.53265000,1513137539999,423.01140000,4,0.76374000,210.79224000
1513137540000,276.00000000,276.00000000,276.00000000,276.00000000,0.00000000,1513137599999,0.00000000,0,0.00000000,0.00000000
1513137600000,276.00000000,276.00000000,276.00000000,276.00000000,0.04109000,1513137659999,11.34084000,1,0.04109000,11.34084000
1513137660000,276.00000000,276.00000000,276.00000000,276.00000000,5.25378000,1513137719999,1450.04328000,1,0.00000000,0.00000000
1513137720000,276.00000000,284.10000000,276.00000000,283.99000000,0.15511000,1513137779999,43.05260760,3,0.03000000,8.52224760
1513137780000,283.99000000,283.99000000,283.99000000,283.99000000,0.00000000,1513137839999,0.00000000,0,0.00000000,0.00000000
1513137840000,280.00000000,280.00000000,280.00000000,280.00000000,1.14540000,1513137899999,320.71200000,2,1.14540000,320.71200000
1513137900000,279.00000000,280.00000000,279.00000000,280.00000000,14.62777000,1513137959999,4094.61676000,4,1.75777000,491.01676000
1513137960000,280.00000000,280.00000000,280.00000000,280.00000000,0.20000000,1513138019999,56.00000000,2,0.00000000,0.00000000
1513138020000,280.00000000,280.00000000,276.01000000,276.01000000,10.16376000,1513138079999,2845.41390000,5,4.90000000,1372.00000000
1513138080000,276.01000000,283.96000000,275.50000000,281.00000000,49.72658000,1513138139999,13970.19168980,8,3.46772000,972.29039280
1513138140000,279.99000000,281.00000000,275.50000000,275.50000000,2.56050000,1513138199999,717.51698500,6,1.92734000,539.72321500
1513138200000,275.50000000,275.50000000,275.50000000,275.50000000,0.00000000,1513138259999,0.00000000,0,0.00000000,0.00000000
1513138260000,275.00000000,280.93000000,275.00000000,280.93000000,3.52519000,1513138319999,969.87318600,5,1.27520000,351.12593600
1513138320000,275.00000000,275.00000000,275.00000000,275.00000000,1.76179000,1513138379999,484.49225000,3,0.00000000,0.00000000
1513138380000,274.90000000,274.90000000,274.90000000,274.90000000,0.19336000,1513138439999,53.15466400,1,0.19336000,53.15466400
1513138440000,275.00000000,275.00000000,275.00000000,275.00000000,21.93999000,1513138499999,6033.49725000,3,0.00000000,0.00000000
1513138500000,275.00000000,275.00000000,275.00000000,275.00000000,0.00000000,1513138559999,0.00000000,0,0.00000000,0.00000000
1513138560000,275.00000000,275.00000000,275.00000000,275.00000000,0.00223000,1513138619999,0.61325000,1,0.00000000,0.00000000
1513138620000,271.00000000,271.00000000,271.00000000,271.00000000,0.00319000,1513138679999,0.86449000,1,0.00000000,0.00000000
1513138680000,271.00000000,271.00000000,271.00000000,271.00000000,0.00746000,1513138739999,2.02166000,1,0.00000000,0.00000000
1513138740000,271.00000000,271.00000000,271.00000000,271.00000000,0.00000000,1513138799999,0.00000000,0,0.00000000,0.00000000
1513138800000,272.00000000,272.00000000,272.00000000,272.00000000,7.78850000,1513138859999,2118.47200000,1,0.00000000,0.00000000
1513138860000,272.50000000,272.50000000,272.00000000,272.00000000,192.87899000,1513138919999,52463.34132500,5,0.00000000,0.00000000
1513138920000,271.00000000,271.00000000,271.00000000,271.00000000,8.39376000,1513138979999,2274.70896000,4,2.32893000,631.14003000
1513138980000,271.00000000,271.00000000,271.00000000,271.00000000,0.00000000,1513139039999,0.00000000,0,0.00000000,0.00000000
1513139040000,271.00000000,271.00000000,271.00000000,271.00000000,6.25000000,1513139099999,1693.75000000,3,6.25000000,1693.75000000
1513139100000,271.00000000,271.00000000,271.00000000,271.00000000,0.10207000,1513139159999,27.66097000,1,0.10207000,27.66097000
1513139160000,269.99000000,271.00000000,269.99000000,269.99000000,11.25493000,1513139219999,3049.54711420,5,10.84494000,2938.85391410
1513139220000,269.99000000,269.99000000,269.99000000,269.99000000,5.51522000,1513139279999,1489.05424780,5,5.50000000,1484.94500000
1513139280000,269.99000000,269.99000000,269.99000000,269.99000000,0.74362000,1513139339999,200.76996380,2,0.00000000,0.00000000
1513139340000,270.00000000,270.00000000,269.99000000,270.00000000,6.62999000,1513139399999,1790.07800010,4,4.70000000,1269.00000000
1513139400000,270.00000000,271.00000000,270.00000000,271.00000000,0.34829000,1513139459999,94.05578000,3,0.34829000,94.05578000
1513139460000,271.00000000,273.00000000,271.00000000,272.00000000,82.45346000,1513139519999,22491.45405000,7,0.00000000,0.00000000
1513139520000,273.00000000,273.00000000,272.00000000,272.00000000,9.02619000,1513139579999,2462.52368000,3,0.00000000,0.00000000
1513139580000,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,1513139639999,0.00000000,0,0.00000000,0.00000000
1513139640000,272.00000000,272.00000000,272.00000000,272.00000000,0.00000000,1513139699999,0.00000000,0,0.00000000,0.00000000
1513139700000,272.00000000,272.00000000,272.00000000,272.00000000,0.01159000,1513139759999,3.15248000,1,0.01159000,3.15248000
1513139760000,271.00000000,271.00000000,271.00000000,271.00000000,1.85000000,1513139819999,501.35000000,1,0.00000000,0.00000000
1513139820000,272.00000000,272.00000000,272.00000000,272.00000000,16.73000000,1513139879999,4550.56000000,4,16.73000000,4550.56000000
1513139880000,272.00000000,272.00000000,271.50000000,272.00000000,10.73704000,1513139939999,2920.43604500,5,10.65937000,2899.34864000
1513139940000,272.00000000,275.00000000,272.00000000,275.00000000,10.98003000,1513139999999,2997.51816000,3,10.98003000,2997.51816000
1513140000000,280.00000000,284.10000000,280.00000000,284.10000000,8.10000000,1513140059999,2291.71835110,5,8.10000000,2291.71835110
1513140060000,278.00000000,278.00000000,278.00000000,278.00000000,0.90000000,1513140119999,250.20000000,3,0.00000000,0.00000000
