Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1514445000000,0.00198000,0.00198000,0.00112000,0.00135000,2972.98000000,1514445059999,3.82652738,53,1407.02000000,1.89952048
1514445060000,0.00134980,0.00149000,0.00130040,0.00139000,6603.76000000,1514445119999,9.25757400,122,5091.77000000,7.14117603
1514445120000,0.00139000,0.00144990,0.00130000,0.00144490,2957.45000000,1514445179999,4.14899452,57,2450.85000000,3.44220636
1514445180000,0.00144470,0.00144470,0.00136010,0.00138000,964.57000000,1514445239999,1.34409697,56,760.25000000,1.05968465
1514445240000,0.00138000,0.00139970,0.00134100,0.00137860,3213.82000000,1514445299999,4.35531701,82,742.46000000,1.02270506
1514445300000,0.00135010,0.00137860,0.00134100,0.00137570,1516.99000000,1514445359999,2.05530993,27,463.97000000,0.63536975
1514445360000,0.00136000,0.00137680,0.00135190,0.00137530,1541.60000000,1514445419999,2.11808700,45,1161.99000000,1.59688201
1514445420000,0.00137530,0.00155990,0.00135690,0.00149000,2456.91000000,1514445479999,3.64674687,61,2241.94000000,3.33463679
1514445480000,0.00149000,0.00150000,0.00140200,0.00150000,419.72000000,1514445539999,0.62426485,25,318.60000000,0.47435694
1514445540000,0.00154880,0.00154880,0.00143500,0.00148960,913.51000000,1514445599999,1.36998275,41,431.31000000,0.65346996
1514445600000,0.00148000,0.00148000,0.00143720,0.00143720,237.97000000,1514445659999,0.35070790,16,149.23000000,0.22057624
1514445660000,0.00146990,0.00147800,0.00143500,0.00147800,1596.34000000,1514445719999,2.34351676,21,1229.15000000,1.81561721
1514445720000,0.00147810,0.00147820,0.00147800,0.00147820,202.23000000,1514445779999,0.29890372,7,2.79000000,0.00412417
1514445780000,0.00148900,0.00148900,0.00143740,0.00143740,2189.05000000,1514445839999,3.18041529,48,568.87000000,0.83827502
1514445840000,0.00143750,0.00146580,0.00143740,0.00143900,150.61000000,1514445899999,0.21696491,9,28.59000000,0.04147802
1514445900000,0.00143860,0.00143860,0.00137400,0.00137400,1873.69000000,1514445959999,2.68114215,41,29.82000000,0.04206142
1514445960000,0.00139990,0.00140000,0.00139990,0.00140000,447.58000000,1514446019999,0.62661039,9,447.58000000,0.62661039
1514446020000,0.00140200,0.00140200,0.00132300,0.00134000,1327.46000000,1514446079999,1.79533225,43,274.18000000,0.37255425
1514446080000,0.00134980,0.00134980,0.00133020,0.00133060,247.30000000,1514446139999,0.32936026,14,6.57000000,0.00884705
1514446140000,0.00133020,0.00136660,0.00133020,0.00133520,478.22000000,1514446199999,0.64197191,26,199.38000000,0.26885487
1514446200000,0.00133510,0.00134000,0.00132400,0.00134000,849.01000000,1514446259999,1.13164645,27,274.74000000,0.36720494
1514446260000,0.00133990,0.00133990,0.00125000,0.00125000,1921.11000000,1514446319999,2.50911289,42,337.17000000,0.44089990
1514446320000,0.00126010,0.00128880,0.00126010,0.00126110,768.96000000,1514446379999,0.97094457,19,113.22000000,0.14391815
1514446380000,0.00126140,0.00130000,0.00126130,0.00128870,454.40000000,1514446439999,0.57667802,25,358.06000000,0.45432069
1514446440000,0.00128800,0.00128800,0.00127990,0.00127990,84.04000000,1514446499999,0.10765286,4,84.04000000,0.10765286
1514446500000,0.00128000,0.00129950,0.00127800,0.00128000,336.67000000,1514446559999,0.43083200,12,211.13000000,0.27013584
1514446560000,0.00127990,0.00128000,0.00125010,0.00126410,679.14000000,1514446619999,0.85534590,19,65.93000000,0.08351633
1514446620000,0.00126410,0.00126600,0.00125100,0.00126600,930.74000000,1514446679999,1.17643748,16,473.78000000,0.59926262
1514446680000,0.00127870,0.00131500,0.00126650,0.00128500,1070.44000000,1514446739999,1.38650627,29,851.79000000,1.10511691
1514446740000,0.00129000,0.00130000,0.00129000,0.00129000,206.14000000,1514446799999,0.26771970,7,103.77000000,0.13480100
1514446800000,0.00129010,0.00138000,0.00129010,0.00135000,2354.96000000,1514446859999,3.16174001,36,1326.60000000,1.78832092
1514446860000,0.00137990,0.00137990,0.00129300,0.00134990,1392.76000000,1514446919999,1.88046058,22,91.37000000,0.12401016
1514446920000,0.00134990,0.00134990,0.00130080,0.00130080,144.42000000,1514446979999,0.19136437,7,62.31000000,0.08407445
1514446980000,0.00130090,0.00132000,0.00129500,0.00130000,1069.13000000,1514447039999,1.39305786,24,364.28000000,0.47373237
1514447040000,0.00130000,0.00130000,0.00129300,0.00129990,370.78000000,1514447099999,0.48049151,11,120.31000000,0.15639797
1514447100000,0.00133000,0.00133000,0.00132950,0.00132980,136.20000000,1514447159999,0.18113497,16,136.20000000,0.18113497
1514447160000,0.00130040,0.00130040,0.00129300,0.00129300,741.32000000,1514447219999,0.96080123,16,56.18000000,0.07281488
1514447220000,0.00129300,0.00129300,0.00126000,0.00126800,905.72000000,1514447279999,1.16413198,24,39.94000000,0.05112717
1514447280000,0.00125000,0.00129000,0.00121200,0.00129000,736.66000000,1514447339999,0.91270956,30,123.06000000,0.15371840
1514447340000,0.00123050,0.00127870,0.00123040,0.00124000,1808.93000000,1514447399999,2.23663023,20,126.31000000,0.15743584
1514447400000,0.00124380,0.00124380,0.00124000,0.00124000,1706.34000000,1514447459999,2.11590100,14,280.01000000,0.34723732
1514447460000,0.00126990,0.00126990,0.00123050,0.00126990,564.72000000,1514447519999,0.69662025,7,36.65000000,0.04652213
1514447520000,0.00126800,0.00126800,0.00126000,0.00126000,15.57000000,1514447579999,0.01970811,5,15.57000000,0.01970811
1514447580000,0.00124050,0.00125000,0.00123050,0.00123060,1067.22000000,1514447639999,1.31508086,19,78.92000000,0.09711895
1514447640000,0.00123060,0.00124800,0.00123040,0.00123050,763.19000000,1514447699999,0.93937390,12,196.96000000,0.24239461
1514447700000,0.00124000,0.00124000,0.00121200,0.00121200,659.96000000,1514447759999,0.80743179,22,42.47000000,0.05201170
1514447760000,0.00121800,0.00122220,0.00112030,0.00115000,3459.18000000,1514447819999,4.02862297,50,253.20000000,0.30660288
1514447820000,0.00115000,0.00122000,0.00115000,0.00122000,52.04000000,1514447879999,0.06133410,5,18.57000000,0.02265540
1514447880000,0.00117680,0.00122100,0.00117680,0.00120000,285.35000000,1514447939999,0.34328362,6,281.58000000,0.33884709
1514447940000,0.00120000,0.00122100,0.00119000,0.00122100,171.24000000,1514447999999,0.20533112,7,75.34000000,0.09120926
1514448000000,0.00122100,0.00124000,0.00122100,0.00124000,274.15000000,1514448059999,0.33574160,12,274.15000000,0.33574160
1514448060000,0.00124000,0.00128770,0.00124000,0.00128770,864.12000000,1514448119999,1.10462908,22,418.93000000,0.53150888
1514448120000,0.00125990,0.00128760,0.00125990,0.00125990,250.21000000,1514448179999,0.31734236,13,74.69000000,0.09616735
1514448180000,0.00125990,0.00126000,0.00125990,0.00126000,42.52000000,1514448239999,0.05357426,5,19.63000000,0.02473380
1514448240000,0.00126100,0.00127990,0.00123180,0.00123180,544.75000000,1514448299999,0.68566959,24,400.24000000,0.50441798
1514448300000,0.00126990,0.00126990,0.00126990,0.00126990,1.22000000,1514448359999,0.00154927,1,1.22000000,0.00154927
1514448360000,0.00126990,0.00127000,0.00125990,0.00126290,135.06000000,1514448419999,0.17126511,11,133.66000000,0.16950125
1514448420000,0.00126990,0.00127990,0.00126990,0.00127990,362.88000000,1514448479999,0.46398332,6,362.88000000,0.46398332
1514448480000,0.00127980,0.00127980,0.00125000,0.00125000,130.84000000,1514448539999,0.16567682,5,60.84000000,0.07786302
