Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1514364960000,0.00280000,0.00280000,0.00280000,0.00280000,100.00000000,1514365019999,0.28000000,1,0.00000000,0.00000000
1514365020000,0.03509900,0.03509900,0.00360000,0.03100000,143.61000000,1514365079999,3.90279996,12,92.61000000,2.97836342
1514365080000,0.01110000,0.01110000,0.00510000,0.00987000,65.15000000,1514365139999,0.42428160,4,18.62000000,0.18697860
1514365140000,0.00580000,0.00900000,0.00570000,0.00570100,10740.13000000,1514365199999,63.57066269,68,2141.11000000,12.75568249
1514365200000,0.00599800,0.00599800,0.00570000,0.00588700,3571.81000000,1514365259999,20.53158660,25,593.98000000,3.52633930
1514365260000,0.00572000,0.00588700,0.00530000,0.00560000,1309.30000000,1514365319999,7.59775741,25,626.24000000,3.67273223
1514365320000,0.00560000,0.00560000,0.00520000,0.00559700,2301.12000000,1514365379999,12.62921414,27,220.16000000,1.22234282
1514365380000,0.00559600,0.00559600,0.00558800,0.00558800,2143.04000000,1514365439999,11.97955560,16,2142.91000000,11.97882916
1514365440000,0.00558800,0.00559600,0.00521200,0.00521200,229.74000000,1514365499999,1.20548376,5,31.38000000,0.16817976
1514365500000,0.00530100,0.00558700,0.00530100,0.00558700,69.58000000,1514365559999,0.37009906,5,34.18000000,0.18241366
1514365560000,0.00558600,0.00558600,0.00530100,0.00540000,307.30000000,1514365619999,1.67378862,9,159.52000000,0.88352931
1514365620000,0.00540000,0.00540000,0.00535000,0.00535000,111.24000000,1514365679999,0.59804823,6,61.24000000,0.33054823
1514365680000,0.00531000,0.00535000,0.00530100,0.00535000,332.43000000,1514365739999,1.76714262,15,98.02000000,0.52440700
1514365740000,0.00539900,0.00558600,0.00539900,0.00558600,702.02000000,1514365799999,3.90204303,7,702.02000000,3.90204303
1514365800000,0.00558600,0.00558800,0.00558000,0.00558400,1832.48000000,1514365859999,10.23710660,14,1466.35000000,8.19190442
1514365860000,0.00558400,0.00574500,0.00558400,0.00574500,1676.90000000,1514365919999,9.43810833,21,832.06000000,4.72052177
1514365920000,0.00574500,0.00574500,0.00540000,0.00560000,412.29000000,1514365979999,2.29634298,27,99.04000000,0.56133750
1514365980000,0.00560000,0.00560000,0.00554900,0.00555000,644.56000000,1514366039999,3.57735494,19,385.55000000,2.13984944
1514366040000,0.00555000,0.00575000,0.00555000,0.00575000,2597.90000000,1514366099999,14.75027953,33,1905.29000000,10.83787583
1514366100000,0.00575000,0.00599900,0.00570000,0.00599900,807.08000000,1514366159999,4.63047844,20,198.01000000,1.15701772
1514366160000,0.00599900,0.00610000,0.00599900,0.00610000,2070.51000000,1514366219999,12.47303391,24,290.04000000,1.74127374
1514366220000,0.00600000,0.00650000,0.00599900,0.00599900,3332.75000000,1514366279999,20.84293190,53,1462.14000000,9.37118810
1514366280000,0.00600000,0.00622200,0.00580000,0.00600000,1806.84000000,1514366339999,10.81287591,21,119.68000000,0.71517652
1514366340000,0.00600000,0.00600000,0.00580100,0.00599900,1012.57000000,1514366399999,6.02088669,15,232.57000000,1.39521796
1514366400000,0.00599900,0.00600000,0.00599000,0.00600000,232.68000000,1514366459999,1.39584044,15,232.68000000,1.39584044
1514366460000,0.00580100,0.00599000,0.00570200,0.00570200,1151.52000000,1514366519999,6.70977190,25,212.00000000,1.24622794
1514366520000,0.00570200,0.00570200,0.00560000,0.00560000,1408.39000000,1514366579999,8.01233629,19,189.00000000,1.07711100
1514366580000,0.00560000,0.00569900,0.00560000,0.00569900,1494.74000000,1514366639999,8.38044400,17,556.26000000,3.12495600
1514366640000,0.00569900,0.00597900,0.00560000,0.00561000,1180.27000000,1514366699999,6.66713527,20,433.09000000,2.48126787
1514366700000,0.00597900,0.00597900,0.00544900,0.00570000,316.16000000,1514366759999,1.77991849,5,1.01000000,0.00603879
