Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513924800000,0.00330000,0.00330000,0.00050000,0.00090000,321.78000000,1513924859999,0.57296133,12,197.03000000,0.51048719
1513924860000,0.00090000,0.00090000,0.00050160,0.00053990,284.33000000,1513924919999,0.15929630,20,153.24000000,0.09354158
1513924920000,0.00054000,0.00058000,0.00050160,0.00058000,1126.07000000,1513924979999,0.59742543,23,517.47000000,0.28600536
1513924980000,0.00058990,0.00079990,0.00058990,0.00075800,2995.68000000,1513925039999,2.26178005,53,1057.02000000,0.77147953
1513925040000,0.00075800,0.00088000,0.00075800,0.00080010,6610.61000000,1513925099999,5.68670069,51,5579.25000000,4.86287780
1513925100000,0.00080010,0.00086890,0.00059000,0.00060020,2377.00000000,1513925159999,1.74940907,45,367.68000000,0.29783060
1513925160000,0.00060020,0.00069000,0.00060000,0.00060150,5279.59000000,1513925219999,3.24773204,55,810.95000000,0.54200046
1513925220000,0.00061500,0.00064990,0.00061500,0.00062060,2843.00000000,1513925279999,1.76888937,34,342.74000000,0.21516072
1513925280000,0.00062060,0.00064990,0.00060000,0.00060000,6229.61000000,1513925339999,3.79791371,63,2162.55000000,1.34611759
1513925340000,0.00061020,0.00064980,0.00060250,0.00060250,2223.44000000,1513925399999,1.36271096,20,215.17000000,0.13772830
1513925400000,0.00061100,0.00061100,0.00060000,0.00060000,1905.00000000,1513925459999,1.15533648,36,878.45000000,0.53562623
1513925460000,0.00060000,0.00060010,0.00059000,0.00059990,735.58000000,1513925519999,0.44078448,16,85.40000000,0.05124208
1513925520000,0.00059990,0.00059990,0.00050400,0.00058800,4847.32000000,1513925579999,2.56470446,51,211.02000000,0.12569401
1513925580000,0.00058800,0.00058970,0.00052000,0.00058780,975.29000000,1513925639999,0.55793951,26,763.37000000,0.44629797
1513925640000,0.00058780,0.00063910,0.00055000,0.00061000,1475.42000000,1513925699999,0.88983914,40,1401.94000000,0.84843532
1513925700000,0.00061000,0.00069990,0.00061000,0.00066980,2139.38000000,1513925759999,1.41018230,40,1832.06000000,1.21476075
1513925760000,0.00066980,0.00074000,0.00065000,0.00072000,637.44000000,1513925819999,0.43753223,15,406.45000000,0.28523180
1513925820000,0.00072000,0.00073000,0.00068450,0.00073000,1191.16000000,1513925879999,0.86027726,48,538.33000000,0.38818167
1513925880000,0.00073500,0.00075900,0.00070100,0.00074020,1751.38000000,1513925939999,1.30247655,40,1314.34000000,0.97772174
1513925940000,0.00074020,0.00085000,0.00074010,0.00084970,7582.75000000,1513925999999,6.05051793,57,4044.51000000,3.21678028
1513926000000,0.00083000,0.00099990,0.00082100,0.00095000,7064.32000000,1513926059999,6.31090543,74,5687.36000000,5.09559146
1513926060000,0.00097000,0.00099000,0.00089990,0.00092510,4986.67000000,1513926119999,4.64912102,61,718.76000000,0.69347593
