Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513663080000,0.00010000,0.00012000,0.00009500,0.00009500,6591.00000000,1513663139999,0.75607500,11,6591.00000000,0.75607500
1513663140000,0.00009499,0.00009499,0.00003330,0.00004299,107208.00000000,1513663199999,4.18238064,55,33863.00000000,1.31727123
1513663200000,0.00004000,0.00004298,0.00003175,0.00003250,125127.00000000,1513663259999,4.35120342,124,51880.00000000,1.84054460
1513663260000,0.00003020,0.00003200,0.00002500,0.00002800,58716.00000000,1513663319999,1.63664995,71,11591.00000000,0.32383765
1513663320000,0.00002800,0.00003195,0.00002665,0.00002675,191821.00000000,1513663379999,5.26207881,96,27742.00000000,0.81935108
1513663380000,0.00003090,0.00003090,0.00002700,0.00002770,123720.00000000,1513663439999,3.49277474,89,33638.00000000,0.98373695
1513663440000,0.00002770,0.00002898,0.00002750,0.00002770,179875.00000000,1513663499999,5.00075706,126,50913.00000000,1.43619655
1513663500000,0.00002761,0.00002895,0.00002710,0.00002800,228861.00000000,1513663559999,6.34570395,111,83356.00000000,2.31579274
1513663560000,0.00002887,0.00003733,0.00002770,0.00003660,281164.00000000,1513663619999,8.89670370,186,97628.00000000,3.05633672
1513663620000,0.00003000,0.00003660,0.00003000,0.00003300,435551.00000000,1513663679999,15.06279082,167,254146.00000000,9.00421622
1513663680000,0.00003538,0.00003538,0.00003301,0.00003420,134659.00000000,1513663739999,4.55988381,114,56911.00000000,1.94526364
1513663740000,0.00003336,0.00003480,0.00003336,0.00003445,141213.00000000,1513663799999,4.77732116,156,40605.00000000,1.38530757
1513663800000,0.00003445,0.00003479,0.00003300,0.00003300,210234.00000000,1513663859999,7.06445500,174,20635.00000000,0.70585290
1513663860000,0.00003300,0.00003300,0.00003050,0.00003081,188117.00000000,1513663919999,5.91359489,119,76054.00000000,2.42991106
1513663920000,0.00003100,0.00003200,0.00003010,0.00003160,164561.00000000,1513663979999,5.11267926,80,62470.00000000,1.96304393
1513663980000,0.00003160,0.00003189,0.00003100,0.00003111,213342.00000000,1513664039999,6.67078292,111,48865.00000000,1.53940768
1513664040000,0.00003111,0.00003111,0.00003080,0.00003091,85606.00000000,1513664099999,2.64687903,79,28615.00000000,0.88673111
