Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513319400000,0.00006800,0.00006800,0.00006800,0.00006800,2312.00000000,1513319459999,0.15721600,1,0.00000000,0.00000000
1513319460000,0.00010000,0.00010000,0.00008000,0.00008000,15587.00000000,1513319519999,1.39659000,6,15587.00000000,1.39659000
1513319520000,0.00007800,0.00008000,0.00007800,0.00008000,37265.00000000,1513319579999,2.94176400,3,37265.00000000,2.94176400
1513319580000,0.00008000,0.00008900,0.00008000,0.00008900,7249.00000000,1513319639999,0.58271000,2,7249.00000000,0.58271000
1513319640000,0.00008700,0.00008700,0.00008450,0.00008500,139943.00000000,1513319699999,11.89829844,13,139237.00000000,11.83828844
1513319700000,0.00008699,0.00009000,0.00008699,0.00009000,192111.00000000,1513319759999,16.82898266,7,159455.00000000,13.88994266
1513319760000,0.00009000,0.00010000,0.00009000,0.00009000,502241.00000000,1513319819999,45.59442801,21,45743.00000000,4.50788597
1513319820000,0.00009000,0.00009001,0.00008000,0.00008888,52352.00000000,1513319879999,4.67413185,11,7544.00000000,0.67442176
1513319880000,0.00008888,0.00008888,0.00008000,0.00008000,214915.00000000,1513319939999,17.32590382,8,38384.00000000,3.20316520
1513319940000,0.00008000,0.00008000,0.00007900,0.00007900,69975.00000000,1513319999999,5.55191700,8,69975.00000000,5.55191700
1513320000000,0.00007900,0.00007900,0.00007439,0.00007797,42369.00000000,1513320059999,3.34557655,3,42105.00000000,3.32593759
1513320060000,0.00007793,0.00007793,0.00007792,0.00007792,13665.00000000,1513320119999,1.06481527,3,13665.00000000,1.06481527
1513320120000,0.00007770,0.00007770,0.00007770,0.00007770,10000.00000000,1513320179999,0.77700000,1,10000.00000000,0.77700000
1513320180000,0.00007760,0.00007799,0.00007439,0.00007799,190252.00000000,1513320239999,14.80521263,18,189943.00000000,14.78222612
1513320240000,0.00007799,0.00008606,0.00007799,0.00008200,222108.00000000,1513320299999,18.26457198,8,222108.00000000,18.26457198
1513320300000,0.00008200,0.00008200,0.00008200,0.00008200,0.00000000,1513320359999,0.00000000,0,0.00000000,0.00000000
1513320360000,0.00008200,0.00008200,0.00008200,0.00008200,60414.00000000,1513320419999,4.95394800,8,60414.00000000,4.95394800
1513320420000,0.00008200,0.00008599,0.00008200,0.00008599,151907.00000000,1513320479999,12.79004573,6,147597.00000000,12.41942883
1513320480000,0.00008599,0.00008599,0.00008400,0.00008599,310491.00000000,1513320539999,26.44043701,21,310491.00000000,26.44043701
1513320540000,0.00008701,0.00008701,0.00008600,0.00008600,2512.00000000,1513320599999,0.21836106,2,2512.00000000,0.21836106
1513320600000,0.00008203,0.00008500,0.00008200,0.00008200,72823.00000000,1513320659999,6.01532937,15,14377.00000000,1.22194217
1513320660000,0.00008200,0.00008499,0.00008200,0.00008490,9387.00000000,1513320719999,0.79732721,5,9387.00000000,0.79732721
1513320720000,0.00008200,0.00008490,0.00007808,0.00007808,136245.00000000,1513320779999,10.94119868,12,39933.00000000,3.38677660
1513320780000,0.00007808,0.00007808,0.00007808,0.00007808,0.00000000,1513320839999,0.00000000,0,0.00000000,0.00000000
1513320840000,0.00007808,0.00007808,0.00007808,0.00007808,0.00000000,1513320899999,0.00000000,0,0.00000000,0.00000000
1513320900000,0.00008349,0.00008349,0.00007812,0.00008349,4326.00000000,1513320959999,0.35681730,3,3514.00000000,0.29338386
1513320960000,0.00007812,0.00007813,0.00007812,0.00007812,24578.00000000,1513321019999,1.92016751,3,0.00000000,0.00000000
1513321020000,0.00007900,0.00007900,0.00007900,0.00007900,15420.00000000,1513321079999,1.21818000,1,0.00000000,0.00000000
1513321080000,0.00007900,0.00007907,0.00007900,0.00007907,26568.00000000,1513321139999,2.09899114,3,0.00000000,0.00000000
1513321140000,0.00007906,0.00007907,0.00007900,0.00007907,21832.00000000,1513321199999,1.72491875,5,1704.00000000,0.13473516
1513321200000,0.00007915,0.00008005,0.00007812,0.00007812,68582.00000000,1513321259999,5.41968129,9,999.00000000,0.07996995
1513321260000,0.00007813,0.00007813,0.00007808,0.00007808,171754.00000000,1513321319999,13.41536172,16,0.00000000,0.00000000
1513321320000,0.00007808,0.00007813,0.00007800,0.00007813,198782.00000000,1513321379999,15.50813980,20,16399.00000000,1.28056896
1513321380000,0.00007813,0.00007813,0.00007813,0.00007813,7018.00000000,1513321439999,0.54831634,2,6018.00000000,0.47018634
1513321440000,0.00007999,0.00007999,0.00007999,0.00007999,380.00000000,1513321499999,0.03039620,2,380.00000000,0.03039620
1513321500000,0.00007999,0.00008005,0.00007998,0.00008005,159083.00000000,1513321559999,12.72815258,20,159083.00000000,12.72815258
1513321560000,0.00008005,0.00008005,0.00007997,0.00007997,14389.00000000,1513321619999,1.15082073,4,0.00000000,0.00000000
1513321620000,0.00007995,0.00007996,0.00007995,0.00007996,6816.00000000,1513321679999,0.54499091,3,6816.00000000,0.54499091
1513321680000,0.00007900,0.00007900,0.00007868,0.00007900,91288.00000000,1513321739999,7.20278490,12,50902.00000000,4.02125800
1513321740000,0.00007900,0.00007900,0.00007860,0.00007860,46072.00000000,1513321799999,3.62993565,4,0.00000000,0.00000000
1513321800000,0.00007860,0.00007900,0.00007815,0.00007815,173643.00000000,1513321859999,13.57529988,7,9528.00000000,0.74890080
1513321860000,0.00007993,0.00008046,0.00007993,0.00008046,111220.00000000,1513321919999,8.89714236,5,111220.00000000,8.89714236
1513321920000,0.00008042,0.00008042,0.00008042,0.00008042,10910.00000000,1513321979999,0.87738220,3,10846.00000000,0.87223532
1513321980000,0.00008042,0.00008042,0.00008042,0.00008042,57989.00000000,1513322039999,4.66347538,7,27989.00000000,2.25087538
1513322040000,0.00008042,0.00008100,0.00008042,0.00008100,76316.00000000,1513322099999,6.14939170,4,76316.00000000,6.14939170
1513322100000,0.00008100,0.00008152,0.00008100,0.00008152,72994.00000000,1513322159999,5.93031132,6,72994.00000000,5.93031132
1513322160000,0.00008146,0.00008146,0.00008146,0.00008146,31392.00000000,1513322219999,2.55719232,1,31392.00000000,2.55719232
1513322220000,0.00008146,0.00008146,0.00008146,0.00008146,43681.00000000,1513322279999,3.55825426,7,43511.00000000,3.54440606
1513322280000,0.00008146,0.00008268,0.00008146,0.00008268,138814.00000000,1513322339999,11.35407756,9,138814.00000000,11.35407756
1513322340000,0.00008268,0.00008299,0.00008268,0.00008299,16580.00000000,1513322399999,1.37278506,3,16580.00000000,1.37278506
1513322400000,0.00008299,0.00008300,0.00008200,0.00008300,87377.00000000,1513322459999,7.23978198,15,47666.00000000,3.95594727
1513322460000,0.00008300,0.00008352,0.00008299,0.00008352,178069.00000000,1513322519999,14.82708806,16,178069.00000000,14.82708806
1513322520000,0.00008400,0.00008787,0.00008400,0.00008702,291584.00000000,1513322579999,24.78931556,16,290367.00000000,24.68342439
1513322580000,0.00008701,0.00008701,0.00008701,0.00008701,29667.00000000,1513322639999,2.58132567,5,1905.00000000,0.16575405
1513322640000,0.00008701,0.00008702,0.00008687,0.00008702,32802.00000000,1513322699999,2.85405269,6,32802.00000000,2.85405269
1513322700000,0.00008820,0.00009001,0.00008820,0.00009001,289775.00000000,1513322759999,25.76929579,11,289775.00000000,25.76929579
1513322760000,0.00009000,0.00009450,0.00009000,0.00009449,114259.00000000,1513322819999,10.55053697,11,114259.00000000,10.55053697
1513322820000,0.00009500,0.00009900,0.00009450,0.00009450,100014.00000000,1513322879999,9.55041400,11,80014.00000000,7.66041400
1513322880000,0.00009451,0.00009564,0.00009450,0.00009450,19437.00000000,1513322939999,1.83710644,7,1100.00000000,0.10422994
1513322940000,0.00009450,0.00009450,0.00009450,0.00009450,26284.00000000,1513322999999,2.48383800,6,26284.00000000,2.48383800
1513323000000,0.00009460,0.00009564,0.00009450,0.00009550,222031.00000000,1513323059999,21.14755406,21,216562.00000000,20.62738856
1513323060000,0.00009800,0.00009860,0.00009800,0.00009850,173106.00000000,1513323119999,17.01711629,17,172106.00000000,16.91911629
1513323120000,0.00009850,0.00011000,0.00009849,0.00011000,232710.00000000,1513323179999,23.36278002,25,232710.00000000,23.36278002
1513323180000,0.00011000,0.00011700,0.00009602,0.00010150,212063.00000000,1513323239999,22.45173598,22,197784.00000000,20.88864000
1513323240000,0.00011000,0.00012000,0.00010250,0.00012000,423056.00000000,1513323299999,48.19637800,30,366519.00000000,42.08722050
1513323300000,0.00012000,0.00012700,0.00011500,0.00012500,317136.00000000,1513323359999,37.65152000,22,298872.00000000,35.37341000
1513323360000,0.00012500,0.00012500,0.00011501,0.00012000,116730.00000000,1513323419999,13.91306619,27,24388.00000000,2.90887749
1513323420000,0.00012000,0.00012000,0.00011000,0.00011000,27992.00000000,1513323479999,3.23638120,10,17919.00000000,2.12333760
1513323480000,0.00011000,0.00011000,0.00011000,0.00011000,67366.00000000,1513323539999,7.41026000,6,14778.00000000,1.62558000
1513323540000,0.00010500,0.00011000,0.00010008,0.00011000,183793.00000000,1513323599999,18.69105358,17,114581.00000000,11.65871700
1513323600000,0.00010150,0.00011000,0.00010050,0.00010150,117946.00000000,1513323659999,11.94074281,7,75718.00000000,7.69596800
1513323660000,0.00010020,0.00010999,0.00009010,0.00009010,150176.00000000,1513323719999,14.51078201,19,20682.00000000,2.07270549
1513323720000,0.00009011,0.00009624,0.00009011,0.00009624,47745.00000000,1513323779999,4.59350147,10,47504.00000000,4.57178496
1513323780000,0.00009625,0.00010800,0.00009625,0.00010500,138613.00000000,1513323839999,14.36436875,16,118241.00000000,12.27892697
1513323840000,0.00010500,0.00010800,0.00010000,0.00010000,76611.00000000,1513323899999,8.04380983,13,26001.00000000,2.72954421
1513323900000,0.00010500,0.00010800,0.00010000,0.00010800,657517.00000000,1513323959999,66.53923700,16,157517.00000000,16.53923700
1513323960000,0.00010789,0.00010800,0.00010789,0.00010800,68143.00000000,1513324019999,7.35512929,4,68143.00000000,7.35512929
1513324020000,0.00010799,0.00010799,0.00010795,0.00010795,17498.00000000,1513324079999,1.88930910,2,17498.00000000,1.88930910
1513324080000,0.00010795,0.00010795,0.00010795,0.00010795,0.00000000,1513324139999,0.00000000,0,0.00000000,0.00000000
1513324140000,0.00010750,0.00010750,0.00009700,0.00009700,20370.00000000,1513324199999,2.09696649,4,10370.00000000,1.11477500
1513324200000,0.00010750,0.00010750,0.00009950,0.00009950,18600.00000000,1513324259999,1.86350218,4,1735.00000000,0.18543250
1513324260000,0.00010720,0.00010720,0.00010700,0.00010700,23469.00000000,1513324319999,2.51442913,5,23469.00000000,2.51442913
1513324320000,0.00010041,0.00010041,0.00009640,0.00009640,97050.00000000,1513324379999,9.42829096,12,6483.00000000,0.65095803
1513324380000,0.00010041,0.00010780,0.00009701,0.00009701,550757.00000000,1513324439999,56.33598147,24,535950.00000000,54.86451594
1513324440000,0.00009701,0.00009701,0.00009639,0.00009639,58845.00000000,1513324499999,5.70237901,12,634.00000000,0.06150434
1513324500000,0.00009701,0.00010700,0.00009639,0.00010700,17862.00000000,1513324559999,1.72461386,5,14356.00000000,1.38667052
1513324560000,0.00010450,0.00010450,0.00009630,0.00009630,22770.00000000,1513324619999,2.19533920,4,208.00000000,0.02173600
1513324620000,0.00009631,0.00009631,0.00009630,0.00009630,129610.00000000,1513324679999,12.48151419,8,0.00000000,0.00000000
1513324680000,0.00009630,0.00009630,0.00009630,0.00009630,4662.00000000,1513324739999,0.44895060,2,1971.00000000,0.18980730
1513324740000,0.00010427,0.00010427,0.00009640,0.00010410,260118.00000000,1513324799999,27.05640310,26,250917.00000000,26.12569840
1513324800000,0.00010400,0.00010411,0.00010390,0.00010400,177006.00000000,1513324859999,18.41009026,17,146243.00000000,15.21073826
1513324860000,0.00010370,0.00010370,0.00010370,0.00010370,5332.00000000,1513324919999,0.55292840,2,5332.00000000,0.55292840
1513324920000,0.00010370,0.00010370,0.00010370,0.00010370,0.00000000,1513324979999,0.00000000,0,0.00000000,0.00000000
1513324980000,0.00010360,0.00010380,0.00010350,0.00010350,188736.00000000,1513325039999,19.56405200,14,136258.00000000,14.12652940
1513325040000,0.00010350,0.00010411,0.00010340,0.00010411,236515.00000000,1513325099999,24.55157763,22,236515.00000000,24.55157763
1513325100000,0.00010380,0.00010400,0.00010300,0.00010400,359714.00000000,1513325159999,37.21956680,29,277695.00000000,28.77160980
1513325160000,0.00010400,0.00010400,0.00010380,0.00010400,82198.00000000,1513325219999,8.53806858,24,79916.00000000,8.30076340
1513325220000,0.00010400,0.00010411,0.00010301,0.00010410,694906.00000000,1513325279999,72.27274486,51,631608.00000000,65.75241788
1513325280000,0.00010410,0.00010411,0.00010409,0.00010410,173252.00000000,1513325339999,18.03527516,28,153252.00000000,15.95347516
1513325340000,0.00010409,0.00010695,0.00010400,0.00010695,564374.00000000,1513325399999,59.01962921,37,548490.00000000,57.32083541
1513325400000,0.00010695,0.00010695,0.00010400,0.00010695,87273.00000000,1513325459999,9.33343730,7,6671.00000000,0.71346345
1513325460000,0.00010680,0.00010680,0.00010680,0.00010680,46740.00000000,1513325519999,4.99183200,6,46740.00000000,4.99183200
1513325520000,0.00010680,0.00010680,0.00010301,0.00010680,479991.00000000,1513325579999,50.96198171,42,379991.00000000,40.57166740
1513325580000,0.00010680,0.00010890,0.00010679,0.00010700,661157.00000000,1513325639999,70.80189325,48,561157.00000000,60.10189325
1513325640000,0.00010720,0.00010920,0.00010719,0.00010848,206771.00000000,1513325699999,22.46021326,16,205455.00000000,22.31913806
1513325700000,0.00010700,0.00010800,0.00010301,0.00010301,95169.00000000,1513325759999,9.98091447,12,7806.00000000,0.84304800
1513325760000,0.00010302,0.00010302,0.00009900,0.00010301,253724.00000000,1513325819999,25.70999395,20,98188.00000000,10.11434588
1513325820000,0.00010301,0.00010301,0.00009656,0.00010301,99307.00000000,1513325879999,9.86163882,7,54282.00000000,5.51402482
1513325880000,0.00009656,0.00009656,0.00009656,0.00009656,3631.00000000,1513325939999,0.35060936,1,0.00000000,0.00000000
1513325940000,0.00009660,0.00009660,0.00009626,0.00009626,320544.00000000,1513325999999,30.89114153,16,0.00000000,0.00000000
1513326000000,0.00009627,0.00009627,0.00009400,0.00009400,243193.00000000,1513326059999,23.18558723,12,0.00000000,0.00000000
1513326060000,0.00009015,0.00009020,0.00008800,0.00008800,394607.00000000,1513326119999,34.98858402,15,0.00000000,0.00000000
1513326120000,0.00009000,0.00009625,0.00008802,0.00009624,109522.00000000,1513326179999,10.08376312,12,50553.00000000,4.86565312
1513326180000,0.00009624,0.00009627,0.00009624,0.00009627,60723.00000000,1513326239999,5.84455014,8,60723.00000000,5.84455014
1513326240000,0.00009627,0.00009627,0.00009627,0.00009627,11541.00000000,1513326299999,1.11105207,2,0.00000000,0.00000000
1513326300000,0.00009899,0.00010000,0.00009000,0.00010000,603495.00000000,1513326359999,55.13517854,14,80913.00000000,8.06114041
1513326360000,0.00009880,0.00009880,0.00009880,0.00009880,2766.00000000,1513326419999,0.27328080,1,2766.00000000,0.27328080
1513326420000,0.00009880,0.00009917,0.00009880,0.00009917,102498.00000000,1513326479999,10.13190652,12,32767.00000000,3.23737960
1513326480000,0.00009800,0.00009900,0.00009800,0.00009900,60457.00000000,1513326539999,5.92788600,3,1079.00000000,0.10682100
1513326540000,0.00009900,0.00009900,0.00009900,0.00009900,0.00000000,1513326599999,0.00000000,0,0.00000000,0.00000000
1513326600000,0.00009654,0.00009850,0.00009653,0.00009850,16839.00000000,1513326659999,1.62594815,5,238.00000000,0.02344300
1513326660000,0.00009850,0.00009850,0.00009700,0.00009850,92549.00000000,1513326719999,8.99215550,7,9935.00000000,0.97859750
1513326720000,0.00009850,0.00009850,0.00009500,0.00009850,21990.00000000,1513326779999,2.11330728,8,996.00000000,0.09810600
1513326780000,0.00009850,0.00009850,0.00009600,0.00009600,7898.00000000,1513326839999,0.77070300,4,4998.00000000,0.49230300
1513326840000,0.00009500,0.00009600,0.00009500,0.00009600,15886.00000000,1513326899999,1.51953000,9,9786.00000000,0.93945600
1513326900000,0.00009208,0.00009549,0.00008900,0.00008900,227653.00000000,1513326959999,20.52706759,13,2325.00000000,0.22201425
1513326960000,0.00009000,0.00009500,0.00008851,0.00009500,227945.00000000,1513327019999,20.50981900,11,43351.00000000,4.11834500
1513327020000,0.00009500,0.00009500,0.00008866,0.00008866,296224.00000000,1513327079999,26.71532724,11,125762.00000000,11.60162008
1513327080000,0.00008866,0.00008866,0.00008866,0.00008866,0.00000000,1513327139999,0.00000000,0,0.00000000,0.00000000
1513327140000,0.00009488,0.00009600,0.00008867,0.00009600,233908.00000000,1513327199999,22.18612332,16,213928.00000000,20.41449672
1513327200000,0.00009600,0.00009600,0.00009600,0.00009600,10333.00000000,1513327259999,0.99196800,2,10333.00000000,0.99196800
1513327260000,0.00009599,0.00009600,0.00009580,0.00009580,5900.00000000,1513327319999,0.56628338,8,5900.00000000,0.56628338
1513327320000,0.00009580,0.00009580,0.00009580,0.00009580,4650.00000000,1513327379999,0.44547000,3,4650.00000000,0.44547000
1513327380000,0.00009580,0.00009580,0.00009580,0.00009580,0.00000000,1513327439999,0.00000000,0,0.00000000,0.00000000
1513327440000,0.00008913,0.00008913,0.00008913,0.00008913,1.00000000,1513327499999,0.00008913,1,0.00000000,0.00000000
1513327500000,0.00008913,0.00008913,0.00008913,0.00008913,0.00000000,1513327559999,0.00000000,0,0.00000000,0.00000000
1513327560000,0.00008913,0.00008913,0.00008913,0.00008913,0.00000000,1513327619999,0.00000000,0,0.00000000,0.00000000
1513327620000,0.00009575,0.00009579,0.00009575,0.00009579,1150.00000000,1513327679999,0.11015334,2,1150.00000000,0.11015334
1513327680000,0.00009500,0.00009500,0.00009499,0.00009500,221536.00000000,1513327739999,21.04526656,9,149113.00000000,14.16508156
1513327740000,0.00009500,0.00009500,0.00009500,0.00009500,0.00000000,1513327799999,0.00000000,0,0.00000000,0.00000000
1513327800000,0.00009490,0.00009490,0.00009490,0.00009490,124.00000000,1513327859999,0.01176760,1,124.00000000,0.01176760
1513327860000,0.00009490,0.00009490,0.00009490,0.00009490,28814.00000000,1513327919999,2.73444860,4,22964.00000000,2.17928360
1513327920000,0.00009490,0.00009490,0.00009490,0.00009490,56902.00000000,1513327979999,5.39999980,9,2.00000000,0.00018980
1513327980000,0.00009490,0.00009490,0.00009490,0.00009490,0.00000000,1513328039999,0.00000000,0,0.00000000,0.00000000
1513328040000,0.00009490,0.00009490,0.00009490,0.00009490,0.00000000,1513328099999,0.00000000,0,0.00000000,0.00000000
1513328100000,0.00009490,0.00009490,0.00009490,0.00009490,27287.00000000,1513328159999,2.58953630,5,27287.00000000,2.58953630
1513328160000,0.00009490,0.00009490,0.00009490,0.00009490,0.00000000,1513328219999,0.00000000,0,0.00000000,0.00000000
1513328220000,0.00009006,0.00009400,0.00009000,0.00009400,238649.00000000,1513328279999,21.48170931,7,49.00000000,0.00460600
1513328280000,0.00009002,0.00009002,0.00008940,0.00009002,104922.00000000,1513328339999,9.43646777,9,6770.00000000,0.60943540
1513328340000,0.00009399,0.00009399,0.00009399,0.00009399,3375.00000000,1513328399999,0.31721625,1,3375.00000000,0.31721625
1513328400000,0.00009395,0.00009396,0.00009395,0.00009396,40248.00000000,1513328459999,3.78167658,3,40248.00000000,3.78167658
1513328460000,0.00009396,0.00009600,0.00009396,0.00009600,213815.00000000,1513328519999,20.27759585,26,213815.00000000,20.27759585
1513328520000,0.00009485,0.00009485,0.00009031,0.00009031,11232.00000000,1513328579999,1.01538796,2,0.00000000,0.00000000
1513328580000,0.00009031,0.00009031,0.00009031,0.00009031,0.00000000,1513328639999,0.00000000,0,0.00000000,0.00000000
1513328640000,0.00009599,0.00009600,0.00009599,0.00009600,210692.00000000,1513328699999,20.22632205,8,210692.00000000,20.22632205
1513328700000,0.00009600,0.00009600,0.00009600,0.00009600,0.00000000,1513328759999,0.00000000,0,0.00000000,0.00000000
1513328760000,0.00009600,0.00009600,0.00009600,0.00009600,0.00000000,1513328819999,0.00000000,0,0.00000000,0.00000000
1513328820000,0.00009600,0.00009600,0.00009600,0.00009600,60414.00000000,1513328879999,5.79974400,7,40000.00000000,3.84000000
1513328880000,0.00009600,0.00009600,0.00009600,0.00009600,0.00000000,1513328939999,0.00000000,0,0.00000000,0.00000000
1513328940000,0.00009600,0.00009600,0.00009600,0.00009600,2077.00000000,1513328999999,0.19939200,2,1950.00000000,0.18720000
1513329000000,0.00009600,0.00009600,0.00009600,0.00009600,6371.00000000,1513329059999,0.61161600,1,6371.00000000,0.61161600
1513329060000,0.00009600,0.00009600,0.00009600,0.00009600,0.00000000,1513329119999,0.00000000,0,0.00000000,0.00000000
1513329120000,0.00009600,0.00009600,0.00009600,0.00009600,0.00000000,1513329179999,0.00000000,0,0.00000000,0.00000000
1513329180000,0.00009600,0.00009600,0.00009600,0.00009600,0.00000000,1513329239999,0.00000000,0,0.00000000,0.00000000
