Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1514527560000,0.00059000,0.00059000,0.00040900,0.00052200,4401.47000000,1514527619999,1.88195616,40,4340.82000000,1.85708966
1514527620000,0.00051990,0.00051990,0.00042000,0.00046990,4111.78000000,1514527679999,2.01540367,60,3363.78000000,1.68022755
1514527680000,0.00046990,0.00046990,0.00045000,0.00046920,3855.69000000,1514527739999,1.79674377,53,3180.80000000,1.49266606
1514527740000,0.00046920,0.00051000,0.00046500,0.00050090,5921.17000000,1514527799999,2.81179099,51,3834.75000000,1.82863632
1514527800000,0.00050090,0.00100000,0.00050000,0.00090000,7345.95000000,1514527859999,4.95918726,81,3905.86000000,2.63429874
1514527860000,0.00090000,0.00110000,0.00075000,0.00100000,5631.11000000,1514527919999,5.55376864,150,2914.61000000,2.93465321
1514527920000,0.00110000,0.00700000,0.00100000,0.00500000,2107.80000000,1514527979999,5.30490019,141,1038.00000000,3.16676108
1514527980000,0.00399990,0.00500000,0.00299960,0.00350000,4729.99000000,1514528039999,15.64826018,260,921.19000000,3.40184805
1514528040000,0.00300010,0.00300010,0.00100000,0.00101090,9052.24000000,1514528099999,11.45068168,244,2281.84000000,3.50506983
1514528100000,0.00150000,0.00180000,0.00100000,0.00111000,19979.38000000,1514528159999,21.91772091,296,3699.91000000,4.33143475
1514528160000,0.00110000,0.00110000,0.00094250,0.00109960,4880.98000000,1514528219999,5.13176368,140,2191.40000000,2.37911915
1514528220000,0.00105010,0.00109960,0.00100000,0.00108000,4790.45000000,1514528279999,5.02681944,155,1972.61000000,2.14149307
1514528280000,0.00108750,0.00108970,0.00036040,0.00038080,44998.95000000,1514528339999,22.77321347,277,8621.20000000,4.07831722
1514528340000,0.00040000,0.00040000,0.00038000,0.00039200,24487.73000000,1514528399999,9.50742613,154,15991.86000000,6.26689888
1514528400000,0.00039220,0.00039300,0.00037030,0.00037990,20990.66000000,1514528459999,8.08096210,139,8503.00000000,3.30708898
1514528460000,0.00037920,0.00037990,0.00035500,0.00036000,14267.09000000,1514528519999,5.22488699,133,7178.31000000,2.63326451
1514528520000,0.00035500,0.00038900,0.00035500,0.00037780,41212.75000000,1514528579999,15.68362669,168,36393.49000000,13.85004210
1514528580000,0.00037780,0.00037780,0.00037000,0.00037750,15885.13000000,1514528639999,5.96324385,113,8846.53000000,3.33691637
1514528640000,0.00037760,0.00037760,0.00037000,0.00037180,12497.99000000,1514528699999,4.67734759,125,7987.17000000,2.99335613
1514528700000,0.00037290,0.00037780,0.00037010,0.00037780,9848.24000000,1514528759999,3.71045730,65,8584.69000000,3.23691641
1514528760000,0.00037780,0.00039780,0.00037750,0.00038650,13833.53000000,1514528819999,5.31828110,94,10692.26000000,4.10941753
