Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513084680000,0.01000000,0.01000000,0.00010001,0.00015000,20087.00000000,1513084739999,2.96981411,68,7607.00000000,1.08769651
1513084740000,0.00015000,0.00016000,0.00010001,0.00011999,18198.00000000,1513084799999,2.40006549,83,11253.00000000,1.55815941
1513084800000,0.00011998,0.00011998,0.00009000,0.00010001,15642.00000000,1513084859999,1.70096076,52,6026.00000000,0.65106940
1513084860000,0.00010002,0.00014888,0.00010000,0.00012000,14147.00000000,1513084919999,1.62690958,62,4808.00000000,0.60784043
1513084920000,0.00012000,0.00012900,0.00011000,0.00011499,41501.00000000,1513084979999,4.86530794,131,21100.00000000,2.51354109
1513084980000,0.00011499,0.00011899,0.00010000,0.00010000,56056.00000000,1513085039999,6.06770213,133,11333.00000000,1.26151363
1513085040000,0.00010000,0.00010000,0.00007010,0.00007950,10056.00000000,1513085099999,0.85327309,57,3616.00000000,0.33670510
1513085100000,0.00007950,0.00008500,0.00007950,0.00008115,17465.00000000,1513085159999,1.44644743,37,6476.00000000,0.52893672
1513085160000,0.00008387,0.00008600,0.00008120,0.00008500,39650.00000000,1513085219999,3.33984840,70,7600.00000000,0.63882452
1513085220000,0.00008500,0.00008998,0.00008387,0.00008980,11693.00000000,1513085279999,1.00831635,39,2832.00000000,0.24914929
1513085280000,0.00008970,0.00009654,0.00008662,0.00009654,6183.00000000,1513085339999,0.56339614,21,3938.00000000,0.35712332
1513085340000,0.00009655,0.00011700,0.00009600,0.00011700,28332.00000000,1513085399999,3.03362475,83,19038.00000000,2.02956639
1513085400000,0.00011700,0.00015000,0.00011500,0.00013401,40249.00000000,1513085459999,5.20875790,124,26432.00000000,3.42059502
1513085460000,0.00014899,0.00014997,0.00013000,0.00013501,53028.00000000,1513085519999,7.12623496,130,8566.00000000,1.22599849
1513085520000,0.00013500,0.00014500,0.00013300,0.00014200,33063.00000000,1513085579999,4.49585438,70,8033.00000000,1.12274961
1513085580000,0.00014499,0.00015900,0.00008200,0.00013000,105300.00000000,1513085639999,14.94964581,227,28505.00000000,4.23229343
1513085640000,0.00013000,0.00013000,0.00008201,0.00010000,83382.00000000,1513085699999,7.80480483,150,20963.00000000,2.03550799
1513085700000,0.00010000,0.00011000,0.00009200,0.00009202,44410.00000000,1513085759999,4.28959980,147,6353.00000000,0.63082668
1513085760000,0.00009399,0.00009500,0.00008550,0.00009500,56062.00000000,1513085819999,5.07732973,87,19452.00000000,1.75196516
1513085820000,0.00009500,0.00009500,0.00008575,0.00008700,51875.00000000,1513085879999,4.56022502,97,4389.00000000,0.38609471
1513085880000,0.00008700,0.00008700,0.00008100,0.00008110,66542.00000000,1513085939999,5.62811235,152,13079.00000000,1.11695184
1513085940000,0.00008110,0.00008450,0.00007013,0.00007202,62606.00000000,1513085999999,4.93448309,164,5980.00000000,0.47787588
1513086000000,0.00007500,0.00007500,0.00006220,0.00006500,99169.00000000,1513086059999,6.88722043,124,18876.00000000,1.36690196
1513086060000,0.00006300,0.00007100,0.00006090,0.00007100,92392.00000000,1513086119999,6.06167958,118,32262.00000000,2.19488093
1513086120000,0.00007100,0.00008400,0.00007000,0.00008400,66656.00000000,1513086179999,5.18161532,114,39779.00000000,3.07910694
1513086180000,0.00008400,0.00008400,0.00007701,0.00007997,80853.00000000,1513086239999,6.44539878,129,47716.00000000,3.84307731
1513086240000,0.00007803,0.00008000,0.00007200,0.00007500,64198.00000000,1513086299999,4.89824761,92,22843.00000000,1.74878148
1513086300000,0.00007501,0.00007980,0.00007400,0.00007799,42941.00000000,1513086359999,3.27333538,54,20971.00000000,1.62289112
1513086360000,0.00007551,0.00007700,0.00007350,0.00007500,41565.00000000,1513086419999,3.13000323,107,11919.00000000,0.90069214
1513086420000,0.00007500,0.00007600,0.00007411,0.00007411,11738.00000000,1513086479999,0.88322955,32,4231.00000000,0.31929614
1513086480000,0.00007415,0.00007499,0.00007351,0.00007499,67739.00000000,1513086539999,5.00620245,136,1352.00000000,0.10081383
1513086540000,0.00007363,0.00007499,0.00007000,0.00007010,93132.00000000,1513086599999,6.75365745,90,4797.00000000,0.34462928
1513086600000,0.00007000,0.00007100,0.00006800,0.00006803,93231.00000000,1513086659999,6.50755031,91,3239.00000000,0.22689795
1513086660000,0.00006979,0.00007000,0.00006613,0.00006851,72016.00000000,1513086719999,4.91320880,84,21249.00000000,1.47301323
1513086720000,0.00006801,0.00006998,0.00006700,0.00006800,30418.00000000,1513086779999,2.07547631,56,10398.00000000,0.71731831
1513086780000,0.00006802,0.00006990,0.00006702,0.00006860,58702.00000000,1513086839999,4.01343529,103,16367.00000000,1.12686949
1513086840000,0.00006870,0.00007459,0.00006853,0.00007103,87695.00000000,1513086899999,6.26572966,131,56638.00000000,4.05110681
1513086900000,0.00007200,0.00007300,0.00006980,0.00007200,33951.00000000,1513086959999,2.42581651,51,19003.00000000,1.36650491
1513086960000,0.00007188,0.00007400,0.00007122,0.00007400,32842.00000000,1513087019999,2.39030955,48,28143.00000000,2.05362443
1513087020000,0.00007380,0.00007687,0.00007302,0.00007675,52703.00000000,1513087079999,3.96067073,61,27633.00000000,2.08444179
1513087080000,0.00007675,0.00007915,0.00007400,0.00007450,75400.00000000,1513087139999,5.78604204,112,18855.00000000,1.45400394
1513087140000,0.00007450,0.00007450,0.00007306,0.00007306,49908.00000000,1513087199999,3.68775124,62,15294.00000000,1.13219022
1513087200000,0.00007400,0.00007450,0.00007300,0.00007360,32122.00000000,1513087259999,2.37177960,45,9576.00000000,0.70870258
