Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513340940000,0.00065000,0.00065000,0.00065000,0.00065000,10.00000000,1513340999999,0.00650000,1,0.00000000,0.00000000
1513341000000,0.00100000,0.00100000,0.00099000,0.00099000,164.63000000,1513341059999,0.16462500,5,164.63000000,0.16462500
1513341060000,0.00074000,0.00089990,0.00072000,0.00080000,1009.30000000,1513341119999,0.74643666,27,407.91000000,0.30787826
1513341120000,0.00080000,0.00088000,0.00080000,0.00084990,759.57000000,1513341179999,0.62652477,20,249.54000000,0.21562964
1513341180000,0.00085000,0.00149990,0.00085000,0.00120000,1002.12000000,1513341239999,0.92256821,20,1002.12000000,0.92256821
1513341240000,0.00110000,0.00110010,0.00099060,0.00110000,393.86000000,1513341299999,0.42605456,29,245.22000000,0.26691059
1513341300000,0.00110010,0.00380000,0.00110010,0.00380000,1867.13000000,1513341359999,3.66249528,37,367.92000000,0.74321770
1513341360000,0.00380000,0.00900000,0.00210000,0.00900000,660.10000000,1513341419999,3.38160148,55,277.86000000,1.91446908
1513341420000,0.00900000,0.00900000,0.00400000,0.00700000,196.48000000,1513341479999,1.26796677,38,136.15000000,0.96205445
1513341480000,0.00560000,0.00620000,0.00076000,0.00081010,4464.68000000,1513341539999,8.23560195,103,254.95000000,0.91625301
1513341540000,0.00100000,0.00100000,0.00071010,0.00078900,2387.83000000,1513341599999,1.91605703,72,1144.87000000,0.94660972
1513341600000,0.00078000,0.00078000,0.00075010,0.00077990,4843.64000000,1513341659999,3.73349590,69,3704.46000000,2.85565371
1513341660000,0.00077990,0.00078000,0.00077100,0.00077500,1814.91000000,1513341719999,1.41193196,50,1249.28000000,0.97359326
1513341720000,0.00077300,0.00081890,0.00077300,0.00081890,4968.28000000,1513341779999,3.87655535,39,3674.92000000,2.86436911
1513341780000,0.00081880,0.00082990,0.00079000,0.00079000,2638.51000000,1513341839999,2.12185216,45,1314.04000000,1.06708619
1513341840000,0.00079000,0.00080000,0.00078010,0.00079000,1715.11000000,1513341899999,1.35495323,41,811.08000000,0.64269746
1513341900000,0.00079000,0.00079490,0.00078990,0.00078990,698.38000000,1513341959999,0.55180572,26,581.89000000,0.45978103
1513341960000,0.00078170,0.00079480,0.00078050,0.00079000,671.72000000,1513342019999,0.52885515,28,456.83000000,0.36029492
1513342020000,0.00079000,0.00081080,0.00079000,0.00081080,1023.79000000,1513342079999,0.81276344,17,970.46000000,0.77052749
1513342080000,0.00081080,0.00082900,0.00077500,0.00077500,5714.17000000,1513342139999,4.56813693,106,2904.82000000,2.33611660
1513342140000,0.00077300,0.00077500,0.00072330,0.00076880,3991.53000000,1513342199999,3.02259844,75,1077.30000000,0.82928138
1513342200000,0.00075540,0.00077400,0.00075510,0.00077260,2520.84000000,1513342259999,1.92048367,28,1719.16000000,1.31452070
1513342260000,0.00077200,0.00079700,0.00076500,0.00079100,3220.15000000,1513342319999,2.51028796,27,2488.54000000,1.94950651
1513342320000,0.00079100,0.00079100,0.00075510,0.00075510,2726.13000000,1513342379999,2.10255266,46,2005.88000000,1.55021625
1513342380000,0.00076500,0.00076500,0.00074000,0.00075050,1621.10000000,1513342439999,1.21364206,34,1309.86000000,0.98000960
1513342440000,0.00075060,0.00076300,0.00075050,0.00075600,320.76000000,1513342499999,0.24156770,12,115.58000000,0.08751048
1513342500000,0.00075900,0.00076000,0.00075600,0.00076000,824.81000000,1513342559999,0.62629748,27,527.49000000,0.40076965
