Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1514258820000,0.00170000,0.00290000,0.00170000,0.00290000,96.00000000,1514258879999,0.27000000,2,89.00000000,0.25810000
1514258880000,0.00289990,0.00289990,0.00172010,0.00172010,8901.00000000,1514258939999,18.57996490,14,853.00000000,2.47341470
1514258940000,0.00200000,0.00200000,0.00180000,0.00180000,2025.00000000,1514258999999,3.77246870,5,638.00000000,1.27586870
1514259000000,0.00198700,0.00199000,0.00180000,0.00199000,12545.00000000,1514259059999,24.69021120,32,10424.00000000,20.61038340
1514259060000,0.00209990,0.00245000,0.00209990,0.00241990,5894.00000000,1514259119999,13.15282420,26,3874.00000000,8.85377500
1514259120000,0.00235000,0.00235000,0.00210010,0.00228000,2526.00000000,1514259179999,5.90046740,12,2452.00000000,5.74506000
1514259180000,0.00227980,0.00227990,0.00210210,0.00220000,2292.00000000,1514259239999,5.06169320,15,1549.00000000,3.48938940
1514259240000,0.00219960,0.00219970,0.00210200,0.00210200,1823.00000000,1514259299999,3.90000990,12,622.00000000,1.36812630
1514259300000,0.00219880,0.00219880,0.00180000,0.00180070,6017.00000000,1514259359999,12.46421870,27,2028.00000000,4.31504010
1514259360000,0.00199960,0.00199960,0.00194990,0.00195000,1115.00000000,1514259419999,2.17454260,4,1115.00000000,2.17454260
1514259420000,0.00194970,0.00195000,0.00185000,0.00185600,5807.00000000,1514259479999,10.91339300,13,524.00000000,1.01654740
1514259480000,0.00185580,0.00199900,0.00185100,0.00199900,9033.00000000,1514259539999,17.06115780,21,8515.00000000,16.08699480
1514259540000,0.00195010,0.00195010,0.00186000,0.00189960,2423.00000000,1514259599999,4.61243590,11,896.00000000,1.70197700
1514259600000,0.00190000,0.00198870,0.00190000,0.00198860,618.00000000,1514259659999,1.20123680,5,460.00000000,0.89589220
1514259660000,0.00198860,0.00198860,0.00190060,0.00195000,526.00000000,1514259719999,1.04067260,5,472.00000000,0.93804020
1514259720000,0.00194990,0.00199990,0.00189950,0.00190060,9614.00000000,1514259779999,18.60534260,34,5165.00000000,10.14910170
1514259780000,0.00190070,0.00190070,0.00190060,0.00190060,4092.00000000,1514259839999,7.77726800,3,0.00000000,0.00000000
1514259840000,0.00190060,0.00190060,0.00190060,0.00190060,1463.00000000,1514259899999,2.78057780,4,0.00000000,0.00000000
1514259900000,0.00190090,0.00198970,0.00190050,0.00198970,11916.00000000,1514259959999,22.80915730,29,2113.00000000,4.17746900
1514259960000,0.00198890,0.00198890,0.00198750,0.00198760,2423.00000000,1514260019999,4.81589830,11,1345.00000000,2.67326550
1514260020000,0.00198000,0.00198700,0.00185500,0.00198700,1520.00000000,1514260079999,3.01530880,9,1500.00000000,2.97695880
1514260080000,0.00198720,0.00208910,0.00198720,0.00207000,9160.00000000,1514260139999,18.45539690,15,9160.00000000,18.45539690
1514260140000,0.00200090,0.00200090,0.00200000,0.00200000,1820.00000000,1514260199999,3.64118700,8,0.00000000,0.00000000
1514260200000,0.00200080,0.00200080,0.00188000,0.00188000,6516.00000000,1514260259999,12.75514940,12,0.00000000,0.00000000
1514260260000,0.00191090,0.00198580,0.00191080,0.00198490,2392.00000000,1514260319999,4.70272710,10,2207.00000000,4.34919780
1514260320000,0.00197000,0.00199000,0.00197000,0.00199000,4590.00000000,1514260379999,9.09953020,15,4545.00000000,9.01002520
1514260380000,0.00199000,0.00199000,0.00199000,0.00199000,1593.00000000,1514260439999,3.17007000,6,1593.00000000,3.17007000
